Record,Tags,Comments,Name,Date Created Date/Time - UTC+00:00 (M/d/yyyy),Value,Count,Source,Location,Evidence number
1,Of interest,,cd[country],4/3/2018 6:05:09 AM,Indonesia,6,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 199),LoneWolf.E01
2,Of interest,,login,3/28/2018 12:17:20 AM,jimcloudy1@gmail.com,3,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 28),LoneWolf.E01
3,Of interest,,cd[city],4/3/2018 6:05:09 AM,Bali,4,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 198),LoneWolf.E01
4,Of interest,,Keywords,3/29/2018 11:05:20 PM,fn 5.7 ammo,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 32),LoneWolf.E01
5,Of interest,,awsui-textfield-0,3/27/2018 11:56:02 PM,cloudy-thoughts,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 23),LoneWolf.E01
6,Of interest,,Keywords,3/31/2018 4:34:14 AM,9mm ammo,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 61),LoneWolf.E01
7,Of interest,,location,4/3/2018 6:22:02 AM,22030,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 332),LoneWolf.E01
8,Of interest,,Keywords,3/28/2018 1:11:09 AM,fn p90,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 31),LoneWolf.E01
9,Of interest,,Keywords,3/28/2018 1:10:27 AM,fnp90,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 30),LoneWolf.E01
10,Of interest,,cd[city],4/3/2018 6:08:13 AM,Candidasa,2,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 270),LoneWolf.E01
11,Of interest,,Keywords,3/31/2018 4:41:04 AM,mp5,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 64),LoneWolf.E01
12,Of interest,,cd[destination],4/3/2018 6:05:09 AM,Bali,3,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 200),LoneWolf.E01
13,Of interest,,Keywords,3/31/2018 4:40:39 AM,9mm sbr,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 63),LoneWolf.E01
14,Of interest,,session[username_or_email],3/28/2018 1:07:05 AM,jimcloudy1@gmail.com,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 29),LoneWolf.E01
15,Of interest,,Keywords,3/31/2018 4:38:12 AM,9mm rifle,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 62),LoneWolf.E01
16,Of interest,,Keywords,3/31/2018 4:41:58 AM,mp40,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 65),LoneWolf.E01
17,Of interest,,filename,3/27/2018 11:59:20 PM,rootkey.csv,1,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Web Data",Table: autofill(rowid: 24),LoneWolf.E01
